Time,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten
0,0,0,0,0,0,0,0,0,0,0
10,56,57,62,61,55,60,71,62,58,62
20,124,113,71,126,61,132,83,67,115,132
30,187,160,106,167,110,167,86,62,163,155
40,262,208,160,217,143,222,125,36,203,193
50,321,220,159,285,185,261,140,117,256,240
60,378,300,243,327,237,322,205,151,314,299
70,416,343,271,407,282,343,240,115,309,340
80,462,388,321,414,290,358,283,179,346,340
90,455,446,383,400,239,395,319,198,293,290
100,543,453,396,67,335,336,382,233,420,420
110,574,505,446,451,363,438,416,265,456,448
120,631,565,502,480,399,458,392,302,494,483
130,716,620,584,518,447,491,331,326,544,520
140,774,586,658,544,497,538,263,360,576,565
150,857,526,473,597,520,570,206,375,626,590
160,907,609,544,627,554,596,148,394,656,651
170,986,648,581,661,591,625,452,377,687,687
180,1062,712,640,698,630,680,484,321,759,742
190,1117,789,736,782,673,713,519,256,793,798
200,1171,846,770,790,719,760,552,192,848,822
210,1246,902,858,824,748,780,623,130,884,879
220,1303,959,913,852,775,837,668,384,931,912
230,1392,1011,1011,912,772,872,695,401,843,949
240,1447,1074,1051,898,800,908,728,420,882,874
250,1537,1133,1143,930,837,897,770,455,932,934
260,1595,1232,1194,963,892,947,822,481,973,975
270,1676,1286,1278,1022,870,988,864,500,800,1048
280,1418,1319,1333,1109,767,1028,898,533,810,1055
290,1456,1389,1352,881,775,1068,937,556,821,849
300,1455,1403,1365,897,290,903,993,579,900,858
310,1492,1363,1280,868,880,930,955,605,919,556
320,1672,1310,1283,931,896,895,1000,628,934,955
330,1729,1364,1347,953,909,939,1047,661,956,970
340,1790,1425,1438,1000,925,952,1092,681,976,985
350,1874,1483,1493,1014,935,967,1127,717,1005,999
360,1948,1575,1554,1087,949,996,988,728,1021,1024
370,2028,1636,1646,1087,965,1015,935,766,1039,1043
380,2069,1683,1707,1099,981,1033,869,794,1041,1059
390,2154,1779,1772,1122,1011,1050,813,813,1083,1081
400,2242,1837,1238,1131,1032,1071,741,846,1108,1081
410,2343,1283,1304,1164,1046,1141,667,879,1133,1115
420,2395,1385,1372,1184,1060,1123,604,907,1150,1136
430,2465,1475,1431,1203,1086,1140,539,931,1171,1160
440,2556,1524,1493,1224,1100,1170,466,898,1197,1175
450,2618,1599,1590,1245,1141,1189,397,918,1217,1210
460,2706,1659,1644,1265,1173,1205,327,954,1250,1222
470,2738,1721,1706,1280,1204,1225,253,981,1280,1237
480,2802,1827,1736,1298,1212,1244,971,1011,1293,1257
490,2999,1856,1543,1358,1234,1260,988,1032,1312,1297
500,2984,1576,1644,1362,1264,1279,1004,1058,1345,1311
510,3046,1709,1697,1387,1284,1315,1027,1046,1362,1332
520,3108,1756,1796,1410,1307,1336,1051,946,1385,1358
530,3166,1818,1846,1432,1332,1358,1075,898,1408,1384
540,3248,1881,1949,1448,1351,1374,1079,808,1426,1402
550,3312,1965,2004,1470,1371,1402,1099,744,1446,1420
560,3385,2026,2115,1488,1392,1431,1124,683,1212,1451
570,3474,2101,2152,1518,1290,1451,1142,612,1232,1366
580,3521,2287,2212,1542,1275,1469,1156,543,1264,1237
590,3559,2234,2275,1435,1306,1483,1182,475,1288,1268
600,3622,2312,2337,1482,1327,1382,1202,407,1312,1286
610,3715,2407,2396,1521,1371,1399,1232,337,1332,1311
620,3746,2445,2459,1527,1387,1422,1248,267,1357,1336
630,3807,2509,2556,1545,1411,1463,1290,154,1381,1375
640,3865,2600,2614,1557,1440,1487,1318,820,1407,1395
650,3958,2658,2674,1575,1375,1509,1339,828,1220,1422
660,4023,2719,2992,1603,1000,1533,1352,843,977,933
670,4107,2844,2862,1122,1147,1563,1400,855,974,990
680,2931,2844,2854,1158,1205,1583,1419,869,938,974
690,2939,3052,2852,1135,310,1093,1436,876,976,171
700,2933,3039,2851,774,1095,1153,1460,885,975,969
710,2934,2959,2677,1018,1099,1131,1507,910,972,974
720,3025,2948,2644,1019,1108,214,1532,923,984,981
730,2930,2774,2465,1023,1105,1010,1533,939,987,982
740,2908,2760,2525,1024,1107,1011,1414,949,997,983
750,2967,2587,2592,1027,1111,1013,1444,958,999,990
760,3032,2643,2657,1038,1094,1016,1483,972,1002,992
770,3131,2702,2758,1040,1096,1017,1509,952,1011,995
780,3197,2758,2415,1042,1099,1030,1539,1000,1013,997
790,3271,2857,2478,1045,1104,1032,1557,1022,1014,1000
800,3330,2785,2543,1091,941,1036,1579,1029,1016,1003
810,3430,2595,2640,1060,1115,1036,1607,1040,1019,1013
820,3517,2663,2706,1064,1119,1039,1634,1063,1023,1015
830,3597,2774,2771,1066,1142,1052,1429,1071,1026,1006
840,3713,2828,2439,1068,1144,1044,1193,1083,860,1019
850,3732,2885,2537,1054,1145,1046,1281,1097,867,1029
860,3777,2555,2576,942,1004,1051,1191,1119,874,857
870,3840,2656,2637,970,1006,1055,1080,1131,877,859
880,3943,2724,2702,950,1004,1058,998,1141,881,870
890,4006,2785,2744,948,1008,909,919,1166,258,874
900,4074,2853,2464,539,1013,912,843,1175,913,597
910,4173,2648,2529,64,405,916,760,1182,639,244
920,4232,2578,2595,751,1012,922,683,1207,154,898
930,4297,2646,2701,486,1005,937,604,1218,,774
940,4364,2748,2767,524,461,323,519,1236,,293
950,4428,2812,2379,579,486,204,428,1262,,58
960,1885,2877,2347,588,318,978,1103,1271,,
970,2132,2532,1921,514,592,563,1103,1285,,
980,2160,2461,1806,277,506,568,1107,1304,,
990,2160,2049,1662,612,573,379,1109,1315,,
1000,2041,1915,4,673,565,482,1111,1326,,
1010,466,1770,,503,530,503,1111,1352,,
1020,274,111,,339,550,251,1113,1375,,
1030,,,,711,665,,1114,1385,,
1040,,,,519,539,,1117,1407,,
1050,,,,,522,,1120,1278,,
1060,,,,,,,970,1285,,
1070,,,,,,,1130,1303,,
1080,,,,,,,1130,1319,,
1090,,,,,,,1143,1332,,
1100,,,,,,,1143,1360,,
1110,,,,,,,1145,1372,,
1120,,,,,,,1014,1397,,
1130,,,,,,,1016,1406,,
1140,,,,,,,1019,1421,,
1150,,,,,,,1020,1437,,
1160,,,,,,,1025,1461,,
1170,,,,,,,465,1490,,
1180,,,,,,,345,1343,,
1190,,,,,,,1037,967,,
1200,,,,,,,346,967,,
1210,,,,,,,240,903,,
1220,,,,,,,384,832,,
1230,,,,,,,346,762,,
1240,,,,,,,461,677,,
1250,,,,,,,507,603,,
1260,,,,,,,267,526,,
1270,,,,,,,584,448,,
1280,,,,,,,620,366,,
1290,,,,,,,432,288,,
1300,,,,,,,597,202,,
1310,,,,,,,596,13,,
1320,,,,,,,638,708,,
1330,,,,,,,548,706,,
1340,,,,,,,74,729,,
1350,,,,,,,70,728,,
1360,,,,,,,66,724,,
1370,,,,,,,399,724,,
1380,,,,,,,395,724,,
1390,,,,,,,251,725,,
1400,,,,,,,215,728,,
1410,,,,,,,213,729,,
1420,,,,,,,212,729,,
1430,,,,,,,207,732,,
1440,,,,,,,216,730,,
1450,,,,,,,210,731,,
1460,,,,,,,209,735,,
1470,,,,,,,210,614,,
1480,,,,,,,,745,,
1490,,,,,,,,746,,
1500,,,,,,,,747,,
1510,,,,,,,,749,,
1520,,,,,,,,749,,
1530,,,,,,,,752,,
1540,,,,,,,,763,,
1550,,,,,,,,692,,
1560,,,,,,,,603,,
